League Level,Age,Players,Total PA,Weighted K%,Weighted LD%,Weighted wRC+
A,17,7,866,0.2471131636847575,0.2725167486039261,83.26956918605684
A,18,75,10475,0.2291169447257279,0.22073061519780432,97.75478267888617
A,19,217,38437,0.24005515472190858,0.2227505761252179,99.85162923703754
A,20,301,51107,0.24750034196836052,0.22849913610920225,96.0930137066869
A,21,281,36855,0.2427350422727445,0.22369874712617013,98.88569600571567
A,22,293,40103,0.2377627604109917,0.22537986587183,102.56340047484434
A,23,155,20034,0.2387940497149346,0.21496397229809322,103.840104477354
A,24,88,9426,0.23583704592923832,0.2246826453032039,105.46965742311862
A,25,41,2065,0.24939467270605328,0.20984601705714284,110.72645606435994
A,26,16,479,0.25260960307933195,0.21289151140709814,115.12213185664518
A,27,7,95,0.1368421050105263,0.17948279753684213,129.09959598981263
A,28,8,115,0.23478260819130434,0.24596273248695652,125.05882252664865
A,29,5,100,0.11999999967000001,0.30182706125000003,158.2224562741399
A,30,6,85,0.27058823501176466,0.1866515831882353,64.59351575534312
A,31,3,21,0.2857142850952381,0.13756613742857143,74.1259793613848
A,32,1,3,0.333333333,0.0,199.54231279008025
A,33,1,14,0.142857142,0.333333333,117.4205906686167
A,34,1,27,0.11111111099999998,0.263157894,243.74722143862107
A,38,1,17,0.176470588,0.142857142,80.79841933477174
A+,18,9,914,0.21006564495295404,0.21525105914879653,106.23793795720002
A+,19,39,6222,0.21279331358775316,0.21467021034570882,100.53566782112313
A+,20,134,24856,0.23153363327409882,0.22232234047911975,105.18808756280824
A+,21,213,36344,0.24345146330934958,0.21584458040694476,94.88375391374892
A+,22,313,55851,0.23918998715566417,0.21941493249778876,104.18238485662549
A+,23,290,44434,0.2407390731958185,0.21600515003285772,96.46987572723765
A+,24,175,23561,0.24909808531365393,0.21380629272853444,97.79805030085888
A+,25,93,11190,0.24718498608498662,0.21415304613735484,104.14424702899511
A+,26,38,3539,0.2418762357414524,0.22084438793133654,94.91143715488253
A+,27,8,464,0.20905172361637933,0.2246458932176724,102.1787634917419
A+,28,9,163,0.36809815893251535,0.23602590314110428,93.46500948670914
A+,29,2,9,0.3333333333333333,0.4444444443333333,72.60289239384639
A+,30,2,18,0.27777777766666667,0.3333333333333333,50.58795957234608
A+,31,2,14,0.14285714221428572,0.0,94.82244902022974
A+,33,2,18,0.38888888833333335,0.2380952375,264.1772671674628
A+,34,1,25,0.28,0.117647058,-19.62666193165655
AA,18,3,129,0.232558139248062,0.23012181599224804,129.54642783002333
AA,19,12,1822,0.199780460370472,0.23938099285455544,113.00720202795598
AA,20,38,5794,0.18691750032309287,0.2290353710379703,112.5598466076448
AA,21,84,16912,0.21475875070931882,0.23180910167271757,110.52087083038039
AA,22,178,30488,0.23035292526190632,0.22793218163211756,99.25850514123866
AA,23,239,42850,0.24161026787598602,0.22841025179180766,98.25814918898548
AA,24,250,44988,0.24964434911554192,0.22833631073930827,97.03153480350223
AA,25,210,33196,0.2461139891592963,0.2304428763931799,98.64073713728753
AA,26,133,21507,0.24345561865662346,0.23170061036797324,100.11642336831602
AA,27,76,7823,0.2376326212959223,0.24393629972245004,99.19721207749656
AA,28,42,4088,0.23409980386888457,0.2243278185068702,87.51197124747888
AA,29,21,1422,0.2531645563586498,0.2290958017939522,104.98745885995775
AA,30,8,371,0.23450134743396225,0.1898263380727763,85.0492146965272
AA,31,6,149,0.18791946261744968,0.20627463485906042,102.32667446890349
AA,32,4,148,0.25675675657432434,0.28848758075675673,120.35792085477344
AA,33,5,174,0.28735632160344826,0.2129534257816092,156.78495202940005
AA,34,1,14,0.214285714,0.2,-36.337540145140935
AA,35,2,16,0.1875,0.28125,196.06075095867843
AA,36,3,40,0.0999999997,0.2323232319,139.3187950260586
AAA,19,3,229,0.1790393010786026,0.23151622910480352,126.95337639534209
AAA,20,10,1230,0.24634146294552847,0.21670506160243902,107.39191332518897
AAA,21,35,4466,0.1945812803808777,0.23684536681146434,118.54834178206158
AAA,22,71,12738,0.22193436904482655,0.23963559934809237,106.21561308694582
AAA,23,138,22230,0.2293297341614935,0.24027933125317136,102.31706389266546
AAA,24,186,28549,0.230901257035693,0.23622960646863286,103.11153844748135
AAA,25,185,27511,0.23343389869812076,0.2433575187507179,98.9647952242076
AAA,26,208,34752,0.23103706217276704,0.24139537879560888,101.82994535974633
AAA,27,199,30376,0.22274163766898208,0.244474902808138,98.3715707889563
AAA,28,151,21069,0.23180976750543453,0.24190408460235419,99.2958234684613
AAA,29,124,17916,0.2218129041991516,0.24011545940768028,94.82856160717162
AAA,30,94,13743,0.21472749715389655,0.23457932503092485,94.70864729872928
AAA,31,61,8936,0.218666069272829,0.2315609965814682,90.38944494393692
AAA,32,41,6650,0.21383458602842104,0.246551821644812,103.08674826966114
AAA,33,32,4255,0.21621621576310224,0.24058374357508813,91.12887746737348
AAA,34,29,2947,0.2348150657180183,0.24117436784119445,95.60825760304637
AAA,35,15,1422,0.210970463766526,0.2551141236125176,90.58335060524877
AAA,36,4,350,0.25999999957714287,0.22344331053142857,79.7268680521386
AAA,37,2,80,0.31249999952500007,0.19613486763750002,39.92730256334552
AAA,38,1,40,0.3,0.217391304,33.293768127184265
AAA,40,1,28,0.178571428,0.25,1.9956021231793424
CPX,17,20,2262,0.24889478299469495,0.16932915404862953,82.80607031334134
CPX,18,223,22090,0.23648709775264826,0.1980107833908103,99.02459401372747
CPX,19,366,31037,0.24490124644872246,0.19319811677707252,98.22048781003474
CPX,20,256,15613,0.23711010012367897,0.19835267352276947,99.40245514200679
CPX,21,131,6388,0.25187852178866627,0.19596069479680653,100.06884389215757
CPX,22,103,3658,0.23674138823400767,0.19596823488983053,104.09440502428403
CPX,23,79,2426,0.22506182976133557,0.1842689655292663,116.08338775876007
CPX,24,42,1403,0.20313613643193157,0.21304063496293657,128.48147836128513
CPX,25,40,949,0.22233930399262383,0.2112416245026343,123.39158560967789
CPX,26,29,589,0.24957555141256368,0.14197170044312393,87.33689729909929
CPX,27,17,230,0.1913043473956522,0.21178090906521738,148.21927974847623
CPX,28,19,290,0.1931034479551724,0.17693269335862066,127.95483527051545
CPX,29,4,47,0.23404255310638297,0.314893616893617,85.76064738537073
CPX,30,5,27,0.14814814770370371,0.1111111111111111,191.92341325504583
CPX,31,5,53,0.1320754713962264,0.15,137.2121431941381
CPX,32,1,27,0.18518518500000003,0.071428571,77.01503132924344
CPX,34,2,20,0.29999999955,0.6125,184.74999365689055
CPX,35,2,18,0.0555555555,0.0,66.94938989243225
CPX,38,1,2,0.5,0.0,108.40270810667371
R,16,40,2703,0.218275989127266,0.18130766275323715,99.94785194186477
R,17,513,37511,0.2047132836370931,0.18853127075343232,99.54719374329447
R,18,455,33703,0.1943150456976827,0.18755175171287425,103.66276592320813
R,19,174,11463,0.2062287354828579,0.18441830881034632,103.74254612857963
R,20,45,3637,0.1902667028891944,0.19288525570690132,114.63959047546574
R,21,13,576,0.21180555514409724,0.16239508814756945,114.98705393795922
R,22,2,9,0.111111111,0.0,146.32205876795985
